Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1487,1.2.643.5.1.13.13.11.1487
ID,CODE,ID,CODE
156,8191/0,401,C77.1
155,8190/3,401,C77.1
153,8180/3,401,C77.1
293,8401/3,401,C77.1
151,8174/3,401,C77.1
138,8160/0,401,C77.1
149,8172/3,401,C77.1
1148,8144/0,401,C77.1
147,8170/3,401,C77.1
146,8170/0,401,C77.1
145,8163/3,401,C77.1
144,8163/2,401,C77.1
143,8163/0,401,C77.1
142,8162/3,401,C77.1
141,8161/3,401,C77.1
150,8173/3,401,C77.1
87,8102/3,401,C77.1
95,8120/3,401,C77.1
94,8120/2,401,C77.1
92,8120/0,401,C77.1
90,8110/3,401,C77.1
89,8110/0,401,C77.1
1147,8104/0,401,C77.1
116,8145/3,401,C77.1
88,8103/0,401,C77.1
98,8121/3,401,C77.1
86,8102/0,401,C77.1
85,8101/0,401,C77.1
1145,8100/3,401,C77.1
84,8100/0,401,C77.1
83,8098/3,401,C77.1
82,8097/3,401,C77.1
158,8200/3,401,C77.1
1146,8103/1,401,C77.1
105,8131/3,401,C77.1
80,8095/3,401,C77.1
114,8143/3,401,C77.1
113,8142/3,401,C77.1
112,8141/3,401,C77.1
111,8140/6,401,C77.1
110,8140/3,401,C77.1
109,8140/2,401,C77.1
96,8121/0,401,C77.1
107,8140/0,401,C77.1
97,8121/1,401,C77.1
104,8130/3,401,C77.1
103,8130/2,401,C77.1
102,8130/1,401,C77.1
101,8124/3,401,C77.1
100,8123/3,401,C77.1
99,8122/3,401,C77.1
115,8144/3,401,C77.1
108,8140/1,401,C77.1
1175,8509/3,401,C77.1
358,8501/3,401,C77.1
382,8530/3,401,C77.1
381,8525/3,401,C77.1
380,8524/3,401,C77.1
379,8523/3,401,C77.1
378,8522/3,401,C77.1
377,8522/2,401,C77.1
